Video ID,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
IAvik6_Dj-E,108973,14511,2367,0,10,2024-11-22T01:00:06Z
6AI-hWT5hWI,139872,886,41,0,17,2024-11-22T00:57:20Z
z-3SzSrZq1E,130269,1109,34,0,25,2024-11-22T00:55:32Z
HTpAuMkn_-k,162556,3974,660,0,25,2024-11-22T00:56:23Z
iDKVUXCkP90,116777,4195,590,0,24,2024-11-22T00:53:35Z
M55CYcI8mwE,45282,672,47,0,24,2024-11-22T00:51:44Z
-ev9f-FRVaI,105112,909,306,0,22,2024-11-22T00:49:25Z
ALv5nokFR-8,253851,9546,827,0,25,2024-11-22T00:46:38Z
_4rLRbmghVE,48964,4159,649,0,24,2024-11-22T00:45:02Z
uC1JFcO4Dvc,403356,10572,398,0,25,2024-11-22T00:42:17Z
1WAZ0TN_lFg,117003,20250,354,0,25,2024-11-22T00:42:29Z
XcQJIrN7Xfc,51320,8156,543,0,25,2024-11-22T00:42:04Z
-y402JTkWgQ,166852,10534,259,0,20,2024-11-22T00:39:50Z
TwsQy9xv9wY,318818,1435,2273,0,25,2024-11-22T00:40:24Z
GjRcn0VdcUU,9984,216,12,0,17,2024-11-22T00:38:51Z
v8AqCAlf04w,275402,5287,1841,0,24,2024-11-22T00:31:21Z
1w0rrxXFZFY,118496,2308,28,0,20,2024-11-22T00:29:57Z
pFOa2zDmJ60,53897,9178,1364,0,24,2024-11-22T00:28:57Z
QchHWXDuxtw,211924,2984,0,0,20,2024-11-22T00:30:16Z
CnCWTH-qyGk,50125,880,11,0,24,2024-11-22T00:30:06Z
cfWfgm3Uqio,115627,5777,878,0,24,2024-11-22T00:30:18Z
wzGSw543ddY,24988,208,157,0,25,2024-11-22T00:28:37Z
p25OAweypxE,157507,13617,73,0,22,2024-11-22T00:28:24Z
qQRu5QQnS-w,73437,444,4,0,24,2024-11-22T00:17:05Z
X8h5CxAPsBA,24269,440,97,0,22,2024-11-22T00:14:47Z
fQbFk4pk22w,58382,253,131,0,25,2024-11-22T00:13:41Z
CVNlB_sfnvQ,76157,6621,414,0,25,2024-11-22T00:08:42Z
U7XAkbvLfjU,352066,13001,106,0,24,2024-11-22T00:07:44Z
tjkWkPw8TC8,79407,2328,518,0,20,2024-11-22T00:06:54Z
038De4PqerE,52156,318,213,0,25,2024-11-22T00:03:02Z
ldFMhZsOJ9g,40481,4610,607,0,10,2024-11-22T00:00:03Z
